port_name,GID_0,value_import,value_export,freight_total,country,continent,lon,lat
Paranagua,BRA,14723172.792732818,12066030.758105462,26789203.55083828,Brazil,Latin-America,-48.582096678655866,-25.477023104842807
Parepare,IDN,4.457110563221904,42.4898011760963,46.9469117393182,Indonesia,Asia,119.62376349582219,-4.003667011811376
Parnu,EST,622.0301697444985,151.02370228712869,773.0538720316272,Estonia,Eastern-Europe,24.479290632853,58.38101649155317
Pascagoula,USA,2485975.915366886,4647996.636590693,7133972.551957579,U.S.A.,North-America,-88.53517546233107,30.33935056111036
Patrai,GRC,258344.48248595136,76511.43160140785,334855.9140873592,Greece,Mediterranean,21.725873261773387,38.23938897812779
Payra,BGD,113.37212706257063,354.8772519878192,468.24937905038985,Bangladesh,Asia,90.31643606287871,21.999935406674968
Pelabuhan Sansakan,MYS,651757.6718168667,906871.7523741772,1558629.424191044,Malaysia,Asia,118.05899640287186,5.797956607839272
Pelabuhan Sungai Udang,MYS,204.196844220017,349.21385012537627,553.4106943453933,Malaysia,Asia,102.12566908957685,2.2497206163156616
Pelabuhan Tanjung Wangi,IDN,216.30011901764107,112.61465956038123,328.91477857802226,Indonesia,Asia,114.40133718175686,-8.137840877018776
PelabuhanRatuCoalPowerPlant,IDN,63.13192066058842,390.2106593536863,453.34258001427474,Indonesia,Asia,106.44109595633003,-6.950610659384047
Pemba,MOZ,124599.35273479963,57804.683433702376,182404.036168502,Mozambique,Africa,40.48300824486483,-12.97098799941051
Penglai,CHN,6.187501911744884,967.4356315744784,973.6231334862233,China,Asia,120.83287361047432,37.82242570561401
Pepillo Salcedo,DOM,77126.3790677934,151816.08681020484,228942.46587799824,Dominican Republic,Caribbean,-71.74327364932923,19.708639556931768
Peterhead,GBR,298603.72928225395,230893.22243982516,529496.9517220791,United Kingdom,Western-Europe,-1.784784175700305,57.49979726305033
Petrapavlovsk,RUS,463701.19527716783,62139.66907307036,525840.8643502382,Russia,Eastern-Europe,158.63104836335086,53.03326191642647
Philadelphia,USA,28895058.97811739,3956709.0379437967,32851768.016061187,U.S.A.,North-America,-75.11510160437464,39.92071500568238
Phu My,VNM,37320.435590702415,113482.57511576274,150803.01070646517,Vietnam,Asia,107.0168059221003,10.590156267071277
Phuket,THA,303264.72570284555,1030129.5918644873,1333394.3175673329,Thailand,Asia,98.37193526318632,7.8225883238568406
Pichilingue,MEX,1763902.15259187,802840.7683601539,2566742.920952024,Mexico,Latin-America,-110.31424999183005,24.24709179623267
Picton,NZL,70238.82940927436,303285.16779220145,373523.9972014758,New Zealand,Oceania,174.0061594241027,-41.281280217108254
Pipavav Bandar,IND,6768962.625873002,6019451.572134037,12788414.19800704,India,Asia,71.4438796367059,20.889559661842117
Piraievs,GRC,8976438.45743709,3893946.1295041805,12870384.586941272,Greece,Mediterranean,23.606052295957586,37.95044060244364
Pitea,SWE,1178802.4782685519,1062468.348639827,2241270.826908379,Sweden,Northern-Europe,21.55584706382018,65.2415873221953
Ploce,HRV,690018.3008188724,346546.9482687007,1036565.249087573,Croatia,Mediterranean,17.42832214473399,43.0419604022435
Plymouth,GBR,2734202.6472954955,1841177.2411965735,4575379.888492069,United Kingdom,Western-Europe,-4.160406022195868,50.361206029843096
Pohang,KOR,18745643.66730458,10887593.3787167,29633237.04602128,South Korea,Asia,129.40299143633354,36.03317417615078
Point Fortin,TTO,8130.232570798835,1353640.9035314843,1361771.1361022831,Trinidad and Tobago,Caribbean,-61.702644419512424,10.188295019140801
Point Lisa Port,TTO,900053.0353658117,5976313.976923589,6876367.0122894,Trinidad and Tobago,Caribbean,-61.49193795127753,10.391323057251858
Point Murat,AUS,0.7622950758708391,0.15367881207889061,0.9159738879497297,Australia,Australia,114.17527215657184,-21.896917825535084
Point Noire,COG,4591297.652852568,5888320.097459956,10479617.750312524,Republic of Congo,Africa,11.84027073511229,-4.781281730328414
Point Richmond,USA,5394380.805794297,3273505.0370845627,8667885.84287886,U.S.A.,North-America,-122.38620614106654,37.923455613408045
Pointe A Pierre,TTO,1498387.0157110875,1556848.5806234742,3055235.5963345617,Trinidad and Tobago,Caribbean,-61.475222788030365,10.321299547188838
Pomalaa,IDN,8.265179609297402,3.7759627297350065,12.041142339032408,Indonesia,Asia,121.5975707199845,-4.17803309003128
Ponta Delgada,PRT,240670.03560451017,33305.148936201316,273975.18454071146,Portugal,Western-Europe,-25.667568893986324,37.736411155197956
Pontianak,IDN,99943.76567511435,121592.23873794195,221536.0044130563,Indonesia,Asia,109.27213321568219,0.006124434829314636
Poole Harbour,GBR,815175.0963253538,454253.3688378943,1269428.4651632481,United Kingdom,Western-Europe,-1.9733979019326986,50.693425774908285
Pornpei Harbor,FSM,19166.710856562986,14209.572229708112,33376.2830862711,Micronesia,Oceania,158.2008617120837,6.981690946073494
Porsgrunn,NOR,2126678.2136977455,4783794.53493288,6910472.748630625,Norway,Northern-Europe,9.59956631119806,59.11284855461448
Port Adelaide,AUS,3160470.0386371636,549665.0022528763,3710135.04089004,Australia,Australia,138.51062182230473,-34.80374387896233
Port Alma,AUS,392721.5884292518,110502.44767577824,503224.03610503004,Australia,Australia,150.86388913313266,-23.587903916774515
Port Angeles,CAN,422745.2860505759,416472.9566237288,839218.2426743046,Canada,North-America,-123.42607070926192,48.124526922192196
Port Aransas,USA,12.204567243816157,6.357100143581233,18.561667387397392,U.S.A.,North-America,-97.0670212478613,27.84589926904444
Port Arthur,USA,4909434.082651079,9338060.63002533,14247494.71267641,U.S.A.,North-America,-93.92298022377149,29.900485285614636
Port Au Prince,HTI,2390470.1907957443,932205.9169567996,3322676.107752544,Haiti,Caribbean,-72.36400591240904,18.6244018288066
Port Aux Basques,CAN,0.06674310889347607,0.1679500460523829,0.23469315494585896,Canada,North-America,-59.14112527864823,47.57305571192965
Port Bayside NB,CAN,126701.21755935595,104195.24248908121,230896.46004843718,Canada,North-America,-67.13597240961586,45.14869218986957
Port Bonython,AUS,502803.22546946054,304754.5355815354,807557.7610509959,Australia,Australia,137.76274599797102,-33.0092253956085
Port Cartier,CAN,947074.1868099906,6364724.071637033,7311798.258447023,Canada,North-America,-66.77804346520978,50.03111812032387
Port D' Ajaccio,FRA,7806.361889863659,1598.614066027272,9404.97595589093,France,Mediterranean,8.74461881519763,41.91796886867213
Port Dalrymple,AUS,562094.7946016112,219458.33582111783,781553.1304227291,Australia,Australia,146.84608749898646,-41.13037312394312
Port De Aracaju,BRA,160648.26074251547,48081.19123424591,208729.4519767614,Brazil,Latin-America,-36.92480677538206,-10.846610378721433
Port De Caen,FRA,193135.10007862467,637614.5686773924,830749.6687560171,France,Western-Europe,-0.28936264646531507,49.2279853764321
Port De Kribi,CMR,1470425.9044596027,1331514.0406025732,2801939.945062176,Cameroon,Africa,9.859941845948658,2.726069177593804
Port De Salvador,BRA,3429212.6025971235,3679141.013643738,7108353.616240861,Brazil,Latin-America,-38.568742624426775,-12.956657256146533
Port Dickson,MYS,2038000.5732727193,1059523.784594692,3097524.3578674113,Malaysia,Asia,101.76802552729195,2.5673483108375916
