lat,lon,ID,port_name,country,continent
-12.957,-38.569,349,Port De Salvador,Brazil,Latin-America
-12.785,-38.488,350,Aratu,Brazil,Latin-America
-3.708,-38.481,351,Porto De Mucuripe,Brazil,Latin-America
-10.847,-36.925,352,Port De Aracaju,Brazil,Latin-America
-9.687,-35.744,353,Porto De Maceio,Brazil,Latin-America
-5.768,-35.204,354,Natal,Brazil,Latin-America
-8.395,-34.964,355,Porto De Suape,Brazil,Latin-America
-8.053,-34.866,356,Recife,Brazil,Latin-America
-6.974,-34.839,357,Cabedelo,Brazil,Latin-America
38.53,-28.624,358,Horta,Portugal,Western-Europe
38.718,-27.056,359,Praia De Vitoria,Portugal,Western-Europe
37.736,-25.668,360,Ponta Delgada,Portugal,Western-Europe
16.886,-25.006,361,Porto Grande,Cape Verde,Africa
14.916,-24.503,362,Port Vale Knights,Cape Verde,Africa
14.91,-23.5,363,Porto Da Praia,Cape Verde,Africa
16.75,-22.982,364,Palmeira,Cape Verde,Africa
16.178,-22.925,365,Sal Rei,Cape Verde,Africa
64.151,-21.879,366,Reykjavik,Iceland,Northern-Europe
65.696,-18.078,367,Akureyri,Iceland,Northern-Europe
28.674,-17.765,368,Santa Cruz De La Palma,Spain,Western-Europe
14.682,-17.428,369,Dakar,Senegal,Africa
20.855,-17.018,370,Nouadhibou,Mauritania,Africa
32.737,-16.728,371,Funchal,Portugal,Western-Europe
13.448,-16.571,372,Banjul,Gambia,Africa
28.469,-16.242,373,Santa Cruz De Tenerife,Spain,Western-Europe
17.987,-16.029,374,Nouakchott,Mauritania,Africa
23.646,-15.959,375,Ad Dakhla,Western Sahara,Africa
11.855,-15.584,376,Bissau,Guinea-Bissau,Africa
28.045,-15.397,377,Las Palmas,Spain,Western-Europe
10.639,-14.622,378,Kamsar,Guinea,Africa
10.751,-14.562,379,Victoria,Guinea,Africa
64.662,-14.284,380,Djupivogur,Iceland,Northern-Europe
65.038,-14.104,381,Eskifjordhur,Iceland,Northern-Europe
28.493,-13.854,382,Puerto Del Rosario,Spain,Western-Europe
9.516,-13.714,383,Conakry,Guinea,Africa
28.966,-13.533,384,Arrecife,Spain,Western-Europe
27.079,-13.436,385,Laayoune,Western Sahara,Africa
8.488,-13.198,386,Freetown,Sierra Leone,Africa
7.76,-12.399,387,Nitti,Sierra Leone,Africa
6.346,-10.801,388,Monrovia,Liberia,Africa
